"Num_Clones" "Count" "Filename" "lib"
"577" 61 11 "11Y" "lib2"
"578" 62 8 "11Y" "lib2"
"579" 63 8 "11Y" "lib2"
"580" 64 11 "11Y" "lib2"
"581" 65 10 "11Y" "lib2"
"582" 66 9 "11Y" "lib2"
"583" 67 11 "11Y" "lib2"
"584" 68 1 "11Y" "lib2"
"585" 69 8 "11Y" "lib2"
"586" 70 8 "11Y" "lib2"
"587" 71 3 "11Y" "lib2"
"588" 72 7 "11Y" "lib2"
"589" 73 6 "11Y" "lib2"
"590" 75 2 "11Y" "lib2"
"591" 76 4 "11Y" "lib2"
"592" 77 9 "11Y" "lib2"
"593" 78 6 "11Y" "lib2"
"594" 79 11 "11Y" "lib2"
"595" 80 3 "11Y" "lib2"
"596" 81 1 "11Y" "lib2"
"597" 82 4 "11Y" "lib2"
"598" 83 4 "11Y" "lib2"
"599" 84 4 "11Y" "lib2"
"600" 85 4 "11Y" "lib2"
"601" 86 7 "11Y" "lib2"
"602" 87 2 "11Y" "lib2"
"603" 88 3 "11Y" "lib2"
"604" 89 4 "11Y" "lib2"
"605" 90 2 "11Y" "lib2"
"606" 92 1 "11Y" "lib2"
"607" 93 5 "11Y" "lib2"
"608" 95 2 "11Y" "lib2"
"609" 96 1 "11Y" "lib2"
"610" 97 4 "11Y" "lib2"
"611" 99 2 "11Y" "lib2"
"612" 100 3 "11Y" "lib2"
"613" 101 3 "11Y" "lib2"
"614" 102 2 "11Y" "lib2"
"615" 103 1 "11Y" "lib2"
"616" 105 2 "11Y" "lib2"
"617" 106 3 "11Y" "lib2"
"618" 108 3 "11Y" "lib2"
"619" 110 3 "11Y" "lib2"
"620" 111 2 "11Y" "lib2"
"621" 112 3 "11Y" "lib2"
"622" 113 1 "11Y" "lib2"
"623" 114 1 "11Y" "lib2"
"624" 115 1 "11Y" "lib2"
"625" 116 1 "11Y" "lib2"
"626" 117 1 "11Y" "lib2"
"627" 119 2 "11Y" "lib2"
"628" 120 1 "11Y" "lib2"
"629" 122 1 "11Y" "lib2"
"630" 124 1 "11Y" "lib2"
"631" 125 1 "11Y" "lib2"
"632" 127 2 "11Y" "lib2"
"633" 128 2 "11Y" "lib2"
"634" 129 1 "11Y" "lib2"
"635" 132 1 "11Y" "lib2"
"636" 137 1 "11Y" "lib2"
"637" 138 1 "11Y" "lib2"
"638" 139 1 "11Y" "lib2"
"639" 140 1 "11Y" "lib2"
"640" 142 1 "11Y" "lib2"
"641" 143 1 "11Y" "lib2"
"642" 146 1 "11Y" "lib2"
"643" 147 1 "11Y" "lib2"
"644" 149 1 "11Y" "lib2"
"645" 151 1 "11Y" "lib2"
"646" 155 1 "11Y" "lib2"
"647" 159 1 "11Y" "lib2"
"648" 160 1 "11Y" "lib2"
"649" 166 1 "11Y" "lib2"
"650" 180 2 "11Y" "lib2"
"651" 181 1 "11Y" "lib2"
"652" 194 1 "11Y" "lib2"
"653" 205 1 "11Y" "lib2"
"654" 1 2724 "12B" "lib1"
"655" 2 548 "12B" "lib1"
"656" 3 198 "12B" "lib1"
"657" 4 74 "12B" "lib1"
"658" 5 19 "12B" "lib1"
"659" 6 2 "12B" "lib1"
"660" 8 2 "12B" "lib1"
"661" 1 503384 "12G" "lib2"
"662" 2 160391 "12G" "lib2"
"663" 3 77888 "12G" "lib2"
"664" 4 32206 "12G" "lib2"
"665" 5 11921 "12G" "lib2"
"666" 6 4190 "12G" "lib2"
"667" 7 1338 "12G" "lib2"
"668" 8 514 "12G" "lib2"
"669" 9 235 "12G" "lib2"
"670" 10 116 "12G" "lib2"
"671" 11 70 "12G" "lib2"
"672" 12 41 "12G" "lib2"
"673" 13 28 "12G" "lib2"
"674" 14 26 "12G" "lib2"
"675" 15 11 "12G" "lib2"
"676" 16 14 "12G" "lib2"
"677" 17 14 "12G" "lib2"
"678" 18 12 "12G" "lib2"
"679" 19 9 "12G" "lib2"
"680" 20 2 "12G" "lib2"
"681" 21 7 "12G" "lib2"
"682" 22 2 "12G" "lib2"
"683" 23 2 "12G" "lib2"
"684" 24 1 "12G" "lib2"
"685" 25 5 "12G" "lib2"
"686" 26 7 "12G" "lib2"
"687" 29 2 "12G" "lib2"
"688" 32 1 "12G" "lib2"
"689" 34 1 "12G" "lib2"
"690" 44 1 "12G" "lib2"
"691" 1 1908196 "12R" "lib1"
"692" 2 371918 "12R" "lib1"
"693" 3 170278 "12R" "lib1"
"694" 4 69982 "12R" "lib1"
"695" 5 27226 "12R" "lib1"
"696" 6 10209 "12R" "lib1"
"697" 7 4035 "12R" "lib1"
"698" 8 1739 "12R" "lib1"
"699" 9 844 "12R" "lib1"
"700" 10 451 "12R" "lib1"
"701" 11 285 "12R" "lib1"
"702" 12 211 "12R" "lib1"
"703" 13 167 "12R" "lib1"
"704" 14 129 "12R" "lib1"
"705" 15 113 "12R" "lib1"
"706" 16 93 "12R" "lib1"
"707" 17 67 "12R" "lib1"
"708" 18 55 "12R" "lib1"
"709" 19 53 "12R" "lib1"
"710" 20 53 "12R" "lib1"
"711" 21 36 "12R" "lib1"
"712" 22 30 "12R" "lib1"
"713" 23 30 "12R" "lib1"
"714" 24 23 "12R" "lib1"
"715" 25 31 "12R" "lib1"
"716" 26 15 "12R" "lib1"
"717" 27 21 "12R" "lib1"
"718" 28 19 "12R" "lib1"
"719" 29 13 "12R" "lib1"
"720" 30 18 "12R" "lib1"
"721" 31 14 "12R" "lib1"
"722" 32 15 "12R" "lib1"
"723" 33 10 "12R" "lib1"
"724" 34 7 "12R" "lib1"
"725" 35 7 "12R" "lib1"
"726" 36 8 "12R" "lib1"
"727" 37 10 "12R" "lib1"
"728" 38 6 "12R" "lib1"
"729" 39 4 "12R" "lib1"
"730" 40 6 "12R" "lib1"
"731" 41 3 "12R" "lib1"
"732" 42 7 "12R" "lib1"
"733" 43 6 "12R" "lib1"
"734" 44 2 "12R" "lib1"
"735" 45 7 "12R" "lib1"
"736" 46 3 "12R" "lib1"
"737" 47 3 "12R" "lib1"
"738" 48 5 "12R" "lib1"
"739" 49 4 "12R" "lib1"
"740" 50 3 "12R" "lib1"
"741" 51 2 "12R" "lib1"
"742" 52 2 "12R" "lib1"
"743" 53 2 "12R" "lib1"
"744" 54 1 "12R" "lib1"
"745" 56 4 "12R" "lib1"
"746" 57 1 "12R" "lib1"
"747" 58 4 "12R" "lib1"
"748" 59 4 "12R" "lib1"
"749" 61 3 "12R" "lib1"
"750" 62 1 "12R" "lib1"
"751" 63 3 "12R" "lib1"
"752" 64 1 "12R" "lib1"
